{3.08 , 2.62 , -2.68 , -3.12 , -0.45 , 0.46 }, 
{6.12 , 5.17 , -5.42 , -6.30 , -0.90 , 0.92 }, 
{9.13 , 7.68 , -8.24 , -9.55 , -1.35 , 1.38 }, 
{12.12 , 10.15 , -11.14 , -12.86 , -1.78 , 1.85 }, 
{15.09 , 12.57 , -14.13 , -16.27 , -2.22 , 2.31 }, 
{18.06 , 14.96 , -17.21 , -19.78 , -2.64 , 2.78 }, 
{21.02 , 17.31 , -20.40 , -23.42 , -3.06 , 3.25 }, 
{23.98 , 19.64 , -23.72 , -27.21 , -3.47 , 3.73 }, 
{21.02 , 17.31 , -20.40 , -23.42 , -3.06 , 3.25 }, 
{18.06 , 14.96 , -17.21 , -19.78 , -2.64 , 2.78 }, 
{15.09 , 12.57 , -14.13 , -16.27 , -2.22 , 2.31 }, 
{12.12 , 10.15 , -11.14 , -12.86 , -1.78 , 1.85 }, 
{9.13 , 7.68 , -8.24 , -9.55 , -1.35 , 1.38 }, 
{6.12 , 5.17 , -5.42 , -6.30 , -0.90 , 0.92 }, 
{3.08 , 2.62 , -2.68 , -3.12 , -0.45 , 0.46 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
{3.08 , 2.62 , -2.68 , -3.12 , -0.45 , 0.46 }, 
{6.12 , 5.17 , -5.42 , -6.30 , -0.90 , 0.92 }, 
{9.13 , 7.68 , -8.24 , -9.55 , -1.35 , 1.38 }, 
{12.12 , 10.15 , -11.14 , -12.86 , -1.78 , 1.85 }, 
{15.09 , 12.57 , -14.13 , -16.27 , -2.22 , 2.31 }, 
{18.06 , 14.96 , -17.21 , -19.78 , -2.64 , 2.78 }, 
{21.02 , 17.31 , -20.40 , -23.42 , -3.06 , 3.25 }, 
{23.98 , 19.64 , -23.72 , -27.21 , -3.47 , 3.73 }, 
{21.02 , 17.31 , -20.40 , -23.42 , -3.06 , 3.25 }, 
{18.06 , 14.96 , -17.21 , -19.78 , -2.64 , 2.78 }, 
{15.09 , 12.57 , -14.13 , -16.27 , -2.22 , 2.31 }, 
{12.12 , 10.15 , -11.14 , -12.86 , -1.78 , 1.85 }, 
{9.13 , 7.68 , -8.24 , -9.55 , -1.35 , 1.38 }, 
{6.12 , 5.17 , -5.42 , -6.30 , -0.90 , 0.92 }, 
{3.08 , 2.62 , -2.68 , -3.12 , -0.45 , 0.46 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
