{-2.08 , -1.78 , 1.75 , 2.06 , 0.30 , -0.30 }, 
{-4.18 , -3.58 , 3.47 , 4.10 , 0.61 , -0.60 }, 
{-6.30 , -5.42 , 5.17 , 6.12 , 0.92 , -0.90 }, 
{-8.46 , -7.29 , 6.85 , 8.13 , 1.23 , -1.20 }, 
{-6.30 , -5.42 , 5.17 , 6.12 , 0.92 , -0.90 }, 
{-4.18 , -3.58 , 3.47 , 4.10 , 0.61 , -0.60 }, 
{-2.08 , -1.78 , 1.75 , 2.06 , 0.30 , -0.30 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
{-0.85 , -1.37 , -1.37 , -0.85 , 2.20 , 2.20 }, 
{-1.71 , -2.74 , -2.74 , -1.71 , 4.36 , 4.36 }, 
{-2.57 , -4.12 , -4.12 , -2.57 , 6.50 , 6.50 }, 
{-3.45 , -5.50 , -5.50 , -3.45 , 8.62 , 8.62 }, 
{-2.57 , -4.12 , -4.12 , -2.57 , 6.50 , 6.50 }, 
{-1.71 , -2.74 , -2.74 , -1.71 , 4.36 , 4.36 }, 
{-0.85 , -1.37 , -1.37 , -0.85 , 2.20 , 2.20 }, 
{0.00 , -0.00 , -0.00 , 0.00 , 0.00 , 0.00 }, 
{2.06 , 1.75 , -1.78 , -2.08 , -0.30 , 0.30 }, 
{4.10 , 3.47 , -3.58 , -4.18 , -0.60 , 0.61 }, 
{6.12 , 5.17 , -5.42 , -6.30 , -0.90 , 0.92 }, 
{8.13 , 6.85 , -7.29 , -8.46 , -1.20 , 1.23 }, 
{6.12 , 5.17 , -5.42 , -6.30 , -0.90 , 0.92 }, 
{4.10 , 3.47 , -3.58 , -4.18 , -0.60 , 0.61 }, 
{2.06 , 1.75 , -1.78 , -2.08 , -0.30 , 0.30 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
{-0.85 , -1.37 , -1.37 , -0.85 , 2.20 , 2.20 }, 
{-1.71 , -2.74 , -2.74 , -1.71 , 4.36 , 4.36 }, 
{-2.57 , -4.12 , -4.12 , -2.57 , 6.50 , 6.50 }, 
{-3.45 , -5.50 , -5.50 , -3.45 , 8.62 , 8.62 }, 
{-2.57 , -4.12 , -4.12 , -2.57 , 6.50 , 6.50 }, 
{-1.71 , -2.74 , -2.74 , -1.71 , 4.36 , 4.36 }, 
{-0.85 , -1.37 , -1.37 , -0.85 , 2.20 , 2.20 }, 
{0.00 , -0.00 , -0.00 , 0.00 , 0.00 , 0.00 }, 
