{-4.18 , -3.58 , 3.47 , 4.10 , 0.61 , -0.60 }, 
{-8.46 , -7.29 , 6.85 , 8.13 , 1.23 , -1.20 }, 
{-12.86 , -11.14 , 10.15 , 12.12 , 1.85 , -1.78 }, 
{-17.43 , -15.14 , 13.37 , 16.08 , 2.47 , -2.36 }, 
{-12.86 , -11.14 , 10.15 , 12.12 , 1.85 , -1.78 }, 
{-8.46 , -7.29 , 6.85 , 8.13 , 1.23 , -1.20 }, 
{-4.18 , -3.58 , 3.47 , 4.10 , 0.61 , -0.60 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
{-1.71 , -2.74 , -2.74 , -1.71 , 4.36 , 4.36 }, 
{-3.45 , -5.50 , -5.50 , -3.45 , 8.62 , 8.62 }, 
{-5.24 , -8.28 , -8.28 , -5.24 , 12.81 , 12.81 }, 
{-7.07 , -11.07 , -11.07 , -7.07 , 16.94 , 16.94 }, 
{-5.24 , -8.28 , -8.28 , -5.24 , 12.81 , 12.81 }, 
{-3.45 , -5.50 , -5.50 , -3.45 , 8.62 , 8.62 }, 
{-1.71 , -2.74 , -2.74 , -1.71 , 4.36 , 4.36 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
{4.10 , 3.47 , -3.58 , -4.18 , -0.60 , 0.61 }, 
{8.13 , 6.85 , -7.29 , -8.46 , -1.20 , 1.23 }, 
{12.12 , 10.15 , -11.14 , -12.86 , -1.78 , 1.85 }, 
{16.08 , 13.37 , -15.14 , -17.43 , -2.36 , 2.47 }, 
{12.12 , 10.15 , -11.14 , -12.86 , -1.78 , 1.85 }, 
{8.13 , 6.85 , -7.29 , -8.46 , -1.20 , 1.23 }, 
{4.10 , 3.47 , -3.58 , -4.18 , -0.60 , 0.61 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
{-1.71 , -2.74 , -2.74 , -1.71 , 4.36 , 4.36 }, 
{-3.45 , -5.50 , -5.50 , -3.45 , 8.62 , 8.62 }, 
{-5.24 , -8.28 , -8.28 , -5.24 , 12.81 , 12.81 }, 
{-7.07 , -11.07 , -11.07 , -7.07 , 16.94 , 16.94 }, 
{-5.24 , -8.28 , -8.28 , -5.24 , 12.81 , 12.81 }, 
{-3.45 , -5.50 , -5.50 , -3.45 , 8.62 , 8.62 }, 
{-1.71 , -2.74 , -2.74 , -1.71 , 4.36 , 4.36 }, 
{-0.00 , 0.00 , 0.00 , -0.00 , -0.00 , -0.00 }, 
